Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,62.384998,63.982498,62.290001,63.955002,63.123295,151125200
2019-11-04,64.332497,64.462502,63.845001,64.375000,63.537827,103272000
2019-11-05,64.262497,64.547501,64.080002,64.282501,63.446533,79897600
2019-11-06,64.192497,64.372498,63.842499,64.309998,63.473675,75864400
2019-11-07,64.684998,65.087502,64.527496,64.857498,64.206245,94940400
2019-11-08,64.672501,65.110001,64.212502,65.035004,64.381958,69986400
2019-11-11,64.574997,65.617500,64.570000,65.550003,64.891792,81821200
2019-11-12,65.387497,65.697502,65.230003,65.489998,64.832382,87388800
2019-11-13,65.282501,66.195000,65.267502,66.117500,65.453590,102734400
2019-11-14,65.937500,66.220001,65.525002,65.660004,65.000694,89182800
2019-11-15,65.919998,66.445000,65.752502,66.440002,65.772850,100206400
2019-11-18,66.449997,66.857498,66.057503,66.775002,66.104492,86703200
2019-11-19,66.974998,67.000000,66.347504,66.572502,65.904015,76167200
2019-11-20,66.385002,66.519997,65.099998,65.797501,65.136803,106234400
2019-11-21,65.922501,66.002502,65.294998,65.502502,64.844772,121395200
2019-11-22,65.647499,65.794998,65.209999,65.445000,64.787834,65325200
2019-11-25,65.677498,66.610001,65.629997,66.592499,65.923813,84020400
2019-11-26,66.735001,66.790001,65.625000,66.072502,65.409035,105207600
2019-11-27,66.394997,66.995003,66.327499,66.959999,66.287636,65235600
2019-11-29,66.650002,67.000000,66.474998,66.812500,66.141602,46617600
2019-12-02,66.817497,67.062500,65.862503,66.040001,65.376869,94487200
2019-12-03,64.577499,64.882500,64.072502,64.862503,64.211189,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,64.777939,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,65.728294,74424400
2019-12-06,66.870003,67.750000,66.824997,67.677498,66.997925,106075600
2019-12-09,67.500000,67.699997,66.227501,66.730003,66.059944,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,66.446022,90420400
2019-12-11,67.202499,67.775002,67.125000,67.692497,67.012764,78756800
2019-12-12,66.945000,68.139999,66.830002,67.864998,67.183548,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,68.096771,133587600
2019-12-16,69.250000,70.197502,69.245003,69.964996,69.262459,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,69.398575,114158400
2019-12-18,69.949997,70.474998,69.779999,69.934998,69.232750,116028400
2019-12-19,69.875000,70.294998,69.737503,70.004997,69.302048,98369200
2019-12-20,70.557503,70.662498,69.639999,69.860001,69.158508,275978000
2019-12-23,70.132500,71.062500,70.092499,71.000000,70.287064,98572000
2019-12-24,71.172501,71.222504,70.730003,71.067497,70.353882,48478800
2019-12-26,71.205002,72.495003,71.175003,72.477501,71.749733,93121200
2019-12-27,72.779999,73.492500,72.029999,72.449997,71.722488,146266000
2019-12-30,72.364998,73.172501,71.305000,72.879997,72.148178,144114400
2019-12-31,72.482498,73.419998,72.379997,73.412498,72.675339,100805600
2020-01-02,74.059998,75.150002,73.797501,75.087502,74.333511,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,73.610840,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,74.197395,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.848442,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,75.036385,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.630219,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,76.803459,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.444321,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.385063,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,77.053429,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.018631,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,78.882370,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,78.347801,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.627464,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,79.006119,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,78.778435,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.461929,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.624992,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,80.270790,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,80.154472,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,76.600517,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,76.390160,173985600
2020-02-04,78.827499,79.910004,78.407501,79.712502,78.912079,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,79.555550,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,80.486107,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,79.392090,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,79.769165,109348800
